identifier,title,year,description,url,notes,query
AboutBan1935,About Bananas,1935,Complete presentation of the banana industry from the clearing of the jungle and the planting to the shipment of the fruit to the American markets.,https://archive.org/details/AboutBan1935,,watching OR observation OR spying OR surveillance
HealthYo1953,Health: Your Posture,1953,Young girl's mirror image teaches her fundamentals of good posture.,https://archive.org/details/HealthYo1953,,television OR broadcast OR radio OR telephone
FromtheG1954,From the Ground Up,1954,"Promotional film for ""Nutrilite,"" a 1950s-vintage food supplement.",https://archive.org/details/FromtheG1954,,privacy OR private OR secret OR diary
EatforHe1954,Eat for Health,1954,"Ralph learns the five food groups, helping him to eat a balanced diet, and has more fun because of his better health.",https://archive.org/details/EatforHe1954,,television OR broadcast OR radio OR telephone
Usingthe1947,Using the Bank,1947,Banking services and procedures in the pre-computer era.,https://archive.org/details/Usingthe1947,,"auction OR ""stock market"" OR trading OR money OR bank"
HaveITol1958,Have I Told You Lately That I Love You?,1958,Imaginative film showing how automatic gadgets in homes and workplaces alienate people from one another.,https://archive.org/details/HaveITol1958,,privacy OR private OR secret OR diary
CaseofSp1940,"Case of Spring Fever, A",1940,"Gilbert Willoughby is punished for voicing Luddite ideas (complaining about pesky springs) by ""Coily,"" an obnoxious, animated spring who subjects him to the hassles of a springless world.",https://archive.org/details/CaseofSp1940,,"telepathy OR hypnosis OR ""mind reading"" OR psychology OR brain"
SpotNews1937,Spot News,1937,"Dramatization of how photographs are transmitted by wire, an exciting new technology in the 1930s.",https://archive.org/details/SpotNews1937,,television OR broadcast OR radio OR telephone
GoodEati1951,Good Eating Habits,1951,"Drama focusing on gluttony and ""hidden hunger,"" where well-nourished people eat poorly and malnourish themselves.",https://archive.org/details/GoodEati1951,,"auction OR ""stock market"" OR trading OR money OR bank"
DuckandC1951,Duck and Cover,1951,"Selected for the 2004 National Film Registry of ""culturally, historically and aesthetically significant"" motion pictures. Famous Civil Defense film for children in which Bert the Turtle shows what to do in case of atomic attack.",https://archive.org/details/DuckandC1951,,television OR broadcast OR radio OR telephone
GeneralH1928,General Health Habits,1928,"Personal hygiene, 1920s-style.",https://archive.org/details/GeneralH1928,,dream OR dreams OR sleep OR subconscious
Experime1940,Experiments in the Revival of Organisms,1940,"This disturbing film records the successful experiments in the resuscitation of life to dead animals (dogs), as conducted by Dr. S.S. Bryukhonenko at the Institute of Experimental Physiology and Therapy, Voronezh, U.S.S.R. Director: D.I. Yashin. Camera: E.V. Kashina. Narrator: Professor Walter B. Cannon. Introduced by Professor J.B.S. Haldane.",https://archive.org/details/Experime1940,,"telepathy OR hypnosis OR ""mind reading"" OR psychology OR brain"
TimeSave1936,Time Savers for House Makers,1936,Screen ad for instant laundry starch.,https://archive.org/details/TimeSave1936,,watching OR observation OR spying OR surveillance
hindenberg_explodes,Hindenburg Explodes,1937,Footage from Castle and Pathé coverage of the Hindenburg disaster at Lakehurst. Also shots of the big ships over New York.,https://archive.org/details/hindenberg_explodes,,
MakeMine1948,Make Mine Freedom,1948,This Cold War-era cartoon uses humor to tout the dangers of Communism and the benefits of capitalism.,https://archive.org/details/MakeMine1948,,privacy OR private OR secret OR diary
boys_beware,Boys Beware,1961,"Anti-homosexual film targeted at teenage boys, urging them to avoid encounters with potential molesters.",https://archive.org/details/boys_beware,,future OR tomorrow OR prediction OR progress
